DATE,PCU33443344
2013-08-01,59.4
2013-09-01,59.2
2013-10-01,59.3
2013-11-01,59.4
2013-12-01,59.4
2014-01-01,58.9
2014-02-01,58.8
2014-03-01,58.8
2014-04-01,58.7
2014-05-01,58.7
2014-06-01,58.7
2014-07-01,58.8
2014-08-01,58.7
2014-09-01,58.8
2014-10-01,58.8
2014-11-01,58.7
2014-12-01,58.7
2015-01-01,58.7
2015-02-01,58.7
2015-03-01,58.6
2015-04-01,58.6
2015-05-01,58.7
2015-06-01,58.3
2015-07-01,58.4
2015-08-01,58.2
2015-09-01,58.1
2015-10-01,58.1
2015-11-01,58.1
2015-12-01,58.0
2016-01-01,57.7
2016-02-01,57.6
2016-03-01,57.6
2016-04-01,57.5
2016-05-01,57.5
2016-06-01,57.5
2016-07-01,57.4
2016-08-01,57.4
2016-09-01,57.1
2016-10-01,56.9
2016-11-01,56.9
2016-12-01,56.9
2017-01-01,57.4
2017-02-01,57.3
2017-03-01,57.3
2017-04-01,57.6
2017-05-01,57.5
2017-06-01,57.4
2017-07-01,56.6
2017-08-01,56.4
2017-09-01,56.0
2017-10-01,56.0
2017-11-01,56.0
2017-12-01,56.0
2018-01-01,56.1
2018-02-01,56.3
2018-03-01,56.3
2018-04-01,56.4
2018-05-01,56.2
2018-06-01,56.2
2018-07-01,55.9
2018-08-01,55.5
2018-09-01,55.9
2018-10-01,55.6
2018-11-01,55.6
2018-12-01,55.6
2019-01-01,55.1
2019-02-01,55.1
2019-03-01,55.1
2019-04-01,55.2
2019-05-01,55.1
2019-06-01,55.3
2019-07-01,55.4
2019-08-01,55.5
2019-09-01,55.6
2019-10-01,55.5
2019-11-01,55.5
2019-12-01,55.6
2020-01-01,55.5
2020-02-01,55.4
2020-03-01,55.6
2020-04-01,54.9
2020-05-01,54.9
2020-06-01,54.9
2020-07-01,54.7
2020-08-01,54.6
2020-09-01,54.7
2020-10-01,53.8
2020-11-01,53.9
2020-12-01,54.1
2021-01-01,54.1
2021-02-01,54.1
2021-03-01,54.3
2021-04-01,54.2
2021-05-01,54.5
2021-06-01,54.7
2021-07-01,54.548
2021-08-01,54.766
2021-09-01,54.875
2021-10-01,54.947
2021-11-01,55.251
2021-12-01,55.420
2022-01-01,56.336
2022-02-01,56.366
2022-03-01,56.726
2022-04-01,56.488
2022-05-01,56.624
2022-06-01,56.916
2022-07-01,56.804
2022-08-01,56.632
2022-09-01,56.822
2022-10-01,57.313
2022-11-01,57.591
2022-12-01,57.607
2023-01-01,57.231
2023-02-01,57.227
2023-03-01,57.291
2023-04-01,57.142
2023-05-01,56.557
2023-06-01,56.668
2023-07-01,56.717
2023-08-01,56.850
