DATE,A34HNO
1992-02-01,3411
1992-03-01,3711
1992-04-01,3745
1992-05-01,3735
1992-06-01,3814
1992-07-01,3690
1992-08-01,3962
1992-09-01,3850
1992-10-01,3741
1992-11-01,4168
1992-12-01,4484
1993-01-01,3687
1993-02-01,4136
1993-03-01,4419
1993-04-01,4014
1993-05-01,4043
1993-06-01,4081
1993-07-01,4113
1993-08-01,4105
1993-09-01,4125
1993-10-01,4352
1993-11-01,4048
1993-12-01,3980
1994-01-01,4373
1994-02-01,4513
1994-03-01,4458
1994-04-01,4593
1994-05-01,4477
1994-06-01,4402
1994-07-01,4557
1994-08-01,4515
1994-09-01,4488
1994-10-01,4731
1994-11-01,4748
1994-12-01,4811
1995-01-01,4681
1995-02-01,4815
1995-03-01,4516
1995-04-01,4685
1995-05-01,4969
1995-06-01,4895
1995-07-01,5159
1995-08-01,4745
1995-09-01,5467
1995-10-01,5215
1995-11-01,5138
1995-12-01,5233
1996-01-01,5129
1996-02-01,4882
1996-03-01,5007
1996-04-01,5129
1996-05-01,5170
1996-06-01,5149
1996-07-01,5180
1996-08-01,5140
1996-09-01,5188
1996-10-01,5254
1996-11-01,5507
1996-12-01,5055
1997-01-01,4898
1997-02-01,5234
1997-03-01,5839
1997-04-01,5104
1997-05-01,5231
1997-06-01,5394
1997-07-01,4876
1997-08-01,5218
1997-09-01,5070
1997-10-01,4848
1997-11-01,4731
1997-12-01,5190
1998-01-01,4738
1998-02-01,4654
1998-03-01,4825
1998-04-01,4813
1998-05-01,4498
1998-06-01,4913
1998-07-01,4960
1998-08-01,4629
1998-09-01,4820
1998-10-01,4926
1998-11-01,4805
1998-12-01,5390
1999-01-01,4907
1999-02-01,4951
1999-03-01,5289
1999-04-01,5018
1999-05-01,5218
1999-06-01,5660
1999-07-01,5781
1999-08-01,6013
1999-09-01,6204
1999-10-01,6950
1999-11-01,6185
1999-12-01,6136
2000-01-01,6504
2000-02-01,6747
2000-03-01,7050
2000-04-01,7820
2000-05-01,7129
2000-06-01,6665
2000-07-01,7030
2000-08-01,7195
2000-09-01,7378
2000-10-01,5876
2000-11-01,6344
2000-12-01,6402
2001-01-01,6549
2001-02-01,5421
2001-03-01,4239
2001-04-01,3683
2001-05-01,4296
2001-06-01,5158
2001-07-01,4175
2001-08-01,4110
2001-09-01,4096
2001-10-01,4237
2001-11-01,4410
2001-12-01,4135
2002-01-01,4043.0
2002-02-01,3885.0
2002-03-01,4470.0
2002-04-01,4499.0
2002-05-01,3829.0
2002-06-01,4035.0
2002-07-01,4126.0
2002-08-01,3647.0
