DATE,A34SNO
1992-02-01,19538
1992-03-01,19720
1992-04-01,19017
1992-05-01,20433
1992-06-01,19551
1992-07-01,19700
1992-08-01,19482
1992-09-01,20030
1992-10-01,19187
1992-11-01,21027
1992-12-01,21666
1993-01-01,20541
1993-02-01,20113
1993-03-01,20413
1993-04-01,20516
1993-05-01,20495
1993-06-01,19770
1993-07-01,20734
1993-08-01,21352
1993-09-01,20750
1993-10-01,22212
1993-11-01,21504
1993-12-01,19601
1994-01-01,21516
1994-02-01,22300
1994-03-01,20509
1994-04-01,22665
1994-05-01,22505
1994-06-01,23421
1994-07-01,23762
1994-08-01,22975
1994-09-01,23340
1994-10-01,24094
1994-11-01,23893
1994-12-01,23829
1995-01-01,24307
1995-02-01,23932
1995-03-01,24617
1995-04-01,25903
1995-05-01,26720
1995-06-01,25141
1995-07-01,24896
1995-08-01,25700
1995-09-01,26606
1995-10-01,28407
1995-11-01,27131
1995-12-01,27344
1996-01-01,26027
1996-02-01,26891
1996-03-01,26863
1996-04-01,26655
1996-05-01,27181
1996-06-01,26365
1996-07-01,27499
1996-08-01,27699
1996-09-01,25321
1996-10-01,29984
1996-11-01,29093
1996-12-01,25961
1997-01-01,28145
1997-02-01,30728
1997-03-01,29295
1997-04-01,29922
1997-05-01,29530
1997-06-01,30873
1997-07-01,32570
1997-08-01,31387
1997-09-01,31135
1997-10-01,29844
1997-11-01,30060
1997-12-01,30405
1998-01-01,30554
1998-02-01,31806
1998-03-01,30954
1998-04-01,30361
1998-05-01,31964
1998-06-01,31647
1998-07-01,30003
1998-08-01,29964
1998-09-01,31326
1998-10-01,30272
1998-11-01,31086
1998-12-01,32059
1999-01-01,30567
1999-02-01,31473
1999-03-01,32426
1999-04-01,32525
1999-05-01,32899
1999-06-01,32866
1999-07-01,34503
1999-08-01,34023
1999-09-01,34873
1999-10-01,35455
1999-11-01,34822
1999-12-01,36855
2000-01-01,34317
2000-02-01,33171
2000-03-01,35912
2000-04-01,36415
2000-05-01,36124
2000-06-01,41154
2000-07-01,35704
2000-08-01,37713
2000-09-01,37504
2000-10-01,36320
2000-11-01,36567
2000-12-01,34449
2001-01-01,33966
2001-02-01,33420
2001-03-01,30957
2001-04-01,27554
2001-05-01,28736
2001-06-01,29088
2001-07-01,27625
2001-08-01,27598
2001-09-01,26632
2001-10-01,26377
2001-11-01,27061
2001-12-01,26986
2002-01-01,23957.0
2002-02-01,25330.0
2002-03-01,24249.0
2002-04-01,25393.0
2002-05-01,25011.0
2002-06-01,23810.0
2002-07-01,23565.0
2002-08-01,23643.0
2002-09-01,21537.0
2002-10-01,21460.0
2002-11-01,23049.0
2002-12-01,22776.0
2003-01-01,22955.0
2003-02-01,23152.0
2003-03-01,22826.0
2003-04-01,23420.0
2003-05-01,24063.0
2003-06-01,23387.0
2003-07-01,23871.0
2003-08-01,24607.0
2003-09-01,25217.0
2003-10-01,26376.0
2003-11-01,24876.0
2003-12-01,26323.0
2004-01-01,24374.0
2004-02-01,24571.0
2004-03-01,25899.0
2004-04-01,24683.0
2004-05-01,25327.0
2004-06-01,24662.0
2004-07-01,23513.0
2004-08-01,23646.0
2004-09-01,25956.0
2004-10-01,25080.0
2004-11-01,24707.0
2004-12-01,25105.0
2005-01-01,25188.0
2005-02-01,25326.0
2005-03-01,25735.0
2005-04-01,24351.0
2005-05-01,24635.0
2005-06-01,26798.0
2005-07-01,23857.0
2005-08-01,26049.0
2005-09-01,24689.0
2005-10-01,24296.0
2005-11-01,25067.0
2005-12-01,25292.0
2006-01-01,25290.0
2006-02-01,26526.0
2006-03-01,28871.0
2006-04-01,28248.0
2006-05-01,26587.0
2006-06-01,27806.0
2006-07-01,27889.0
2006-08-01,27522.0
2006-09-01,28459.0
2006-10-01,26844.0
2006-11-01,29456.0
2006-12-01,28059.0
2007-01-01,26084
2007-02-01,28525
2007-03-01,24998
2007-04-01,26997
2007-05-01,28272
2007-06-01,26272
2007-07-01,26859
2007-08-01,28016
2007-09-01,27589
2007-10-01,27360
2007-11-01,26942
2007-12-01,27226
2008-01-01,27824
2008-02-01,27257
2008-03-01,26952
2008-04-01,27245
2008-05-01,27941
2008-06-01,27929
2008-07-01,25458
2008-08-01,26089
2008-09-01,26400
2008-10-01,23958
2008-11-01,25442
2008-12-01,24007
2009-01-01,21324
2009-02-01,22732
2009-03-01,23032
2009-04-01,21268
2009-05-01,21614
2009-06-01,22222
2009-07-01,22050
2009-08-01,21340
2009-09-01,22631
2009-10-01,21899
2009-11-01,22262
2009-12-01,22004
2010-01-01,22392
2010-02-01,21631
2010-03-01,22797
2010-04-01,22672
2010-05-01,22218
2010-06-01,21992
2010-07-01,22231
2010-08-01,22976
2010-09-01,23547
2010-10-01,21199
2010-11-01,23319
2010-12-01,23852
2011-01-01,23892
2011-02-01,23634
2011-03-01,22813
2011-04-01,23190
2011-05-01,23217
2011-06-01,23336
2011-07-01,22682
2011-08-01,23767
2011-09-01,23688
2011-10-01,23904
2011-11-01,23401
2011-12-01,23424
2012-01-01,23053
2012-02-01,24010
2012-03-01,22822
2012-04-01,23168
2012-05-01,23470
2012-06-01,21319
2012-07-01,21562
2012-08-01,20903
2012-09-01,20900
2012-10-01,21206
2012-11-01,21183
2012-12-01,21967
2013-01-01,21177
2013-02-01,20332
2013-03-01,19482
2013-04-01,21462
2013-05-01,21858
2013-06-01,21517
2013-07-01,21085
2013-08-01,20014
2013-09-01,20859
2013-10-01,21506
2013-11-01,21730
2013-12-01,20195
2014-01-01,21628
2014-02-01,21241
2014-03-01,21460
2014-04-01,21645
2014-05-01,20880
2014-06-01,21818
2014-07-01,21196
2014-08-01,21539
2014-09-01,21272
2014-10-01,20687
2014-11-01,19779
2014-12-01,19976
2015-01-01,19670
2015-02-01,19439
